,epsilon_progress,nfe
0,0,0
1,36,100
2,96,600
3,126,1100
4,137,1600
5,156,2100
6,173,2600
7,200,3100
8,214,3600
9,214,4100
10,214,4600
11,214,5100
12,214,5600
13,214,6100
14,214,6600
15,214,7100
16,214,7600
17,214,8100
18,214,8600
19,214,9100
20,215,9600
21,215,10135
22,215,10639
23,216,11143
24,216,11647
25,216,12151
26,216,12655
27,216,13159
28,216,13663
29,217,14167
30,217,14671
31,217,15175
32,218,15679
33,221,16183
34,222,16687
35,223,17191
36,223,17754
37,224,18298
38,224,18842
39,225,19386
40,225,19930
41,225,20474
42,226,21018
43,226,21562
44,226,22106
45,228,22650
46,231,23194
47,231,23738
48,232,24282
49,233,24826
50,233,25370
51,233,25914
52,234,26458
53,234,27002
54,235,27546
55,236,28090
56,236,28634
57,237,29178
58,237,29722
59,238,30266
60,238,30810
61,240,31354
62,246,31898
63,253,32442
64,256,32986
65,260,33530
66,263,34074
67,265,34618
68,266,35162
69,266,35706
70,266,36250
71,266,36794
72,266,37338
73,266,37882
74,266,38426
75,266,38970
76,266,39514
77,266,40058
78,268,40602
79,269,41146
80,269,41690
81,269,42234
82,269,42778
83,269,43322
84,269,43866
85,269,44410
86,269,44954
87,269,45498
88,269,46042
89,269,46586
90,269,47130
91,269,47674
92,269,48218
93,270,48762
94,270,49306
95,270,49850
96,271,50394
97,271,50938
98,272,51482
99,272,52026
100,273,52570
101,274,53114
102,276,53658
103,276,54202
104,276,54746
105,276,55290
106,277,55834
107,277,56378
108,277,56922
109,277,57466
110,277,58010
111,277,58554
112,277,59098
113,277,59642
114,277,60186
115,277,60730
116,278,61274
117,278,61818
118,279,62362
119,279,62906
120,281,63450
121,282,63994
122,284,64538
123,286,65082
124,289,65626
125,289,66170
126,291,66714
127,294,67258
128,295,67802
129,297,68346
130,297,68890
131,298,69434
132,298,69978
133,298,70046
